0000;None;
0001;Master Ball;
0002;Ultra Ball;
0003;Great Ball;
0004;Poké Ball;
0005;Safari Ball;
0006;Net Ball;
0007;Dive Ball;
0008;Nest Ball;
0009;Repeat Ball;
0010;Timer Ball;
0011;Luxury Ball;
0012;Premier Ball;
0013;Dusk Ball;
0014;Heal Ball;
0015;Quick Ball;
0016;Cherish Ball;
0017;Potion;
0018;Antidote;
0019;Burn Heal;
0020;Ice Heal;
0021;Awakening;
0022;Paralyze Heal;
0023;Full Restore;
0024;Max Potion;
0025;Hyper Potion;
0026;Super Potion;
0027;Full Heal;
0028;Revive;
0029;Max Revive;
0030;Fresh Water;
0031;Soda Pop;
0032;Lemonade;
0033;Moomoo Milk;
0034;Energy Powder;
0035;Energy Root;
0036;Heal Powder;
0037;Revival Herb;
0038;Ether;
0039;Max Ether;
0040;Elixir;
0041;Max Elixir;
0042;Lava Cookie;
0043;Berry Juice;
0044;Sacred Ash;
0045;HP Up;
0046;Protein;
0047;Iron;
0048;Carbos;
0049;Calcium;
0050;Rare Candy;
0051;PP Up;
0052;Zinc;
0053;PP Max;
0054;Old Gateau;
0055;Guard Spec.;
0056;Dire Hit;
0057;X Attack;
0058;X Defense;
0059;X Speed;
0060;X Accuracy;
0061;X Sp. Atk;
0062;X Sp. Def;
0063;Poké Doll;
0064;Fluffy Tail;
0065;Blue Flute;
0066;Yellow Flute;
0067;Red Flute;
0068;Black Flute;
0069;White Flute;
0070;Shoal Salt;
0071;Shoal Shell;
0072;Red Shard;
0073;Blue Shard;
0074;Yellow Shard;
0075;Green Shard;
0076;Super Repel;
0077;Max Repel;
0078;Escape Rope;
0079;Repel;
0080;Sun Stone;
0081;Moon Stone;
0082;Fire Stone;
0083;Thunder Stone;
0084;Water Stone;
0085;Leaf Stone;
0086;Tiny Mushroom;
0087;Big Mushroom;
0088;Pearl;
0089;Big Pearl;
0090;Stardust;
0091;Star Piece;
0092;Nugget;
0093;Heart Scale;
0094;Honey;
0095;Growth Mulch;
0096;Damp Mulch;
0097;Stable Mulch;
0098;Gooey Mulch;
0099;Root Fossil;
0100;Claw Fossil;
0101;Helix Fossil;
0102;Dome Fossil;
0103;Old Amber;
0104;Armor Fossil;
0105;Skull Fossil;
0106;Rare Bone;
0107;Shiny Stone;
0108;Dusk Stone;
0109;Dawn Stone;
0110;Oval Stone;
0111;Odd Keystone;
0112;Griseous Orb;
0113;Tea;
0114;MysticTicket;
0115;Autograph;
0116;Douse Drive;
0117;Shock Drive;
0118;Burn Drive;
0119;Chill Drive;
0120;???;
0121;???;
0122;???;
0123;???;
0124;???;
0125;???;
0126;???;
0127;???;
0128;???;
0129;Bike Voucher;
0130;Fame Checker;
0131;Berry Pouch;
0132;Teachy TV;
0133;Powder Jar;
0134;Sweet Heart;
0135;Adamant Orb;
0136;Lustrous Orb;
0137;???;
0138;???;
0139;???;
0140;???;
0141;???;
0142;???;
0143;???;
0144;???;
0145;???;
0146;???;
0147;???;
0148;???;
0149;Cheri Berry;
0150;Chesto Berry;
0151;Pecha Berry;
0152;Rawst Berry;
0153;Aspear Berry;
0154;Leppa Berry;
0155;Oran Berry;
0156;Persim Berry;
0157;Lum Berry;
0158;Sitrus Berry;
0159;Figy Berry;
0160;Wiki Berry;
0161;Mago Berry;
0162;Aguav Berry;
0163;Iapapa Berry;
0164;Razz Berry;
0165;Bluk Berry;
0166;Nanab Berry;
0167;Wepear Berry;
0168;Pinap Berry;
0169;Pomeg Berry;
0170;Kelpsy Berry;
0171;Qualot Berry;
0172;Hondew Berry;
0173;Grepa Berry;
0174;Tamato Berry;
0175;Cornn Berry;
0176;Magost Berry;
0177;Rabuta Berry;
0178;Nomel Berry;
0179;Spelon Berry;
0180;Pamtre Berry;
0181;Watmel Berry;
0182;Durin Berry;
0183;Belue Berry;
0184;Occa Berry;
0185;Passho Berry;
0186;Wacan Berry;
0187;Rindo Berry;
0188;Yache Berry;
0189;Chople Berry;
0190;Kebia Berry;
0191;Shuca Berry;
0192;Coba Berry;
0193;Payapa Berry;
0194;Tanga Berry;
0195;Charti Berry;
0196;Kasib Berry;
0197;Haban Berry;
0198;Colbur Berry;
0199;Babiri Berry;
0200;Chilan Berry;
0201;Liechi Berry;
0202;Ganlon Berry;
0203;Salac Berry;
0204;Petaya Berry;
0205;Apicot Berry;
0206;Lansat Berry;
0207;Starf Berry;
0208;Enigma Berry;
0209;Micle Berry;
0210;Custap Berry;
0211;Jaboca Berry;
0212;Rowap Berry;
0213;Bright Powder;
0214;White Herb;
0215;Macho Brace;
0216;Exp. Share;
0217;Quick Claw;
0218;Soothe Bell;
0219;Mental Herb;
0220;Choice Band;
0221;King's Rock;
0222;Silver Powder;
0223;Amulet Coin;
0224;Cleanse Tag;
0225;Soul Dew;
0226;Deep Sea Tooth;
0227;Deep Sea Scale;
0228;Smoke Ball;
0229;Everstone;
0230;Focus Band;
0231;Lucky Egg;
0232;Scope Lens;
0233;Metal Coat;
0234;Leftovers;
0235;Dragon Scale;
0236;Light Ball;
0237;Soft Sand;
0238;Hard Stone;
0239;Miracle Seed;
0240;Black Glasses;
0241;Black Belt;
0242;Magnet;
0243;Mystic Water;
0244;Sharp Beak;
0245;Poison Barb;
0246;Never-Melt Ice;
0247;Spell Tag;
0248;Twisted Spoon;
0249;Charcoal;
0250;Dragon Fang;
0251;Silk Scarf;
0252;Upgrade;
0253;Shell Bell;
0254;Sea Incense;
0255;Lax Incense;
0256;Lucky Punch;
0257;Metal Powder;
0258;Thick Club;
0259;Leek;
0260;Red Scarf;
0261;Blue Scarf;
0262;Pink Scarf;
0263;Green Scarf;
0264;Yellow Scarf;
0265;Wide Lens;
0266;Muscle Band;
0267;Wise Glasses;
0268;Expert Belt;
0269;Light Clay;
0270;Life Orb;
0271;Power Herb;
0272;Toxic Orb;
0273;Flame Orb;
0274;Quick Powder;
0275;Focus Sash;
0276;Zoom Lens;
0277;Metronome;
0278;Iron Ball;
0279;Lagging Tail;
0280;Destiny Knot;
0281;Black Sludge;
0282;Icy Rock;
0283;Smooth Rock;
0284;Heat Rock;
0285;Damp Rock;
0286;Grip Claw;
0287;Choice Scarf;
0288;Sticky Barb;
0289;Power Bracer;
0290;Power Belt;
0291;Power Lens;
0292;Power Band;
0293;Power Anklet;
0294;Power Weight;
0295;Shed Shell;
0296;Big Root;
0297;Choice Specs;
0298;Flame Plate;
0299;Splash Plate;
0300;Zap Plate;
0301;Meadow Plate;
0302;Icicle Plate;
0303;Fist Plate;
0304;Toxic Plate;
0305;Earth Plate;
0306;Sky Plate;
0307;Mind Plate;
0308;Insect Plate;
0309;Stone Plate;
0310;Spooky Plate;
0311;Draco Plate;
0312;Dread Plate;
0313;Iron Plate;
0314;Odd Incense;
0315;Rock Incense;
0316;Full Incense;
0317;Wave Incense;
0318;Rose Incense;
0319;Luck Incense;
0320;Pure Incense;
0321;Protector;
0322;Electirizer;
0323;Magmarizer;
0324;Dubious Disc;
0325;Reaper Cloth;
0326;Razor Claw;
0327;Razor Fang;
0328;TM01;
0329;TM02;
0330;TM03;
0331;TM04;
0332;TM05;
0333;TM06;
0334;TM07;
0335;TM08;
0336;TM09;
0337;TM10;
0338;TM11;
0339;TM12;
0340;TM13;
0341;TM14;
0342;TM15;
0343;TM16;
0344;TM17;
0345;TM18;
0346;TM19;
0347;TM20;
0348;TM21;
0349;TM22;
0350;TM23;
0351;TM24;
0352;TM25;
0353;TM26;
0354;TM27;
0355;TM28;
0356;TM29;
0357;TM30;
0358;TM31;
0359;TM32;
0360;TM33;
0361;TM34;
0362;TM35;
0363;TM36;
0364;TM37;
0365;TM38;
0366;TM39;
0367;TM40;
0368;TM41;
0369;TM42;
0370;TM43;
0371;TM44;
0372;TM45;
0373;TM46;
0374;TM47;
0375;TM48;
0376;TM49;
0377;TM50;
0378;TM51;
0379;TM52;
0380;TM53;
0381;TM54;
0382;TM55;
0383;TM56;
