0;An unbelievably powerful and destructive Pokémon. While it can form out of thin air at any time, it constantly doubts its own existence.;Dieses Pokémon besitzt zerstörerische, übernatürliche Kräfte. Es kann aus dem Nichts entstehen und dennoch zweifelt es stets seine eigene Existenz an.;
1;Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.;Bisasam macht gern einmal ein Nickerchen im Sonnenschein. Auf seinem Rücken trägt es einen Samen. Indem es Sonnenstrahlen aufsaugt, wird er zunehmend größer.;
2;There is a bud on this Pokémon's back. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.;Bisaknosp hat eine Knospe auf seinem Rücken. Seine Beine und sein Stamm sind kräftig genug, um sein Gewicht zu tragen. Wenn es lange in der Sonne liegt, ist das ein Anzeichen dafür, dass die Knospe bald blüht.;
3;The flower on its back is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.;Bisaflor hat eine Blume auf seinem Rücken. Wenn sie viel Nahrung und Sonne aufnimmt, verfärbt sie sich bunt. Der Duft der Blume besänftigt die Gemüter der Menschen.;
4;The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself.;Die Flamme auf seiner Schweifspitze zeigt seine Gefühlslage an. Sie flackert, wenn Glumanda zufrieden ist. Wenn dieses Pokémon wütend wird, lodert die Flamme sehr stark.;
5;Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive.;Glutexo attackiert seine Feinde mit aller Gewalt und unter Einsatz seiner scharfen Krallen. Trifft es auf starke Gegner, wird es wütend und die Flamme auf seiner Schweifspitze flackert in einem bläulichen Ton.;
6;Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything.;Glurak fliegt durch die Lüfte, um starke Gegner aufzuspüren. Sein heißer Feueratem bringt alles zum Schmelzen. Aber es richtet seinen Feueratem nie gegen schwächere Gegner.;
7;Its shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.;Schiggys Panzer dient nicht nur zum Schutz. Die runde Form und die Furchen auf der Oberfläche verringern den Widerstand im Wasser, sodass dieses Pokémon sehr schnell schwimmen kann.;
8;Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages.;Schillok hat einen langen, buschigen Schweif, dessen Farbe intensiver wird, wenn es altert. Die Kratzer auf seinem Panzer zeugen von seiner Kampfkraft.;
9;Its water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 50 m.;Turtok besitzt Wasserdüsen, die aus seinem Panzer herausragen. Diese sind sehr präzise. Es kann Wassergeschosse so genau verschießen, dass es damit aus fast 50 m leere Dosen trifft.;
10;Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes.;Raupy ist sehr gefräßig. Es kann Blätter verschlingen, die seine eigene Größe um ein Vielfaches übersteigen. Seine Antennen sondern einen übel riechenden Gestank ab.;
11;The shell covering this Pokémon's body is as hard as an iron slab. It stays still because it is preparing its soft innards for evolution inside the hard shell.;Der Panzer dieses Pokémon ist hart wie Stahl. Safcon bewegt sich kaum, da es das weiche Innere unter seiner harten Schale auf seine Entwicklung vorbereitet.;
12;Butterfree has a superior ability to search for delicious honey from flowers.;Smettbos größte Fähigkeit ist das Aufspüren köstlichen Blütenhonigs.;
13;It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis.;Hornliu verfügt über einen ausgezeichneten Geruchssinn. Es ist in der Lage, seine Lieblingsblätter von denen zu unterscheiden, die es nicht mag, indem es mit seinem großen roten Rüssel daran schnuppert.;
14;Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution.;Kokuna bewegt sich kaum, wenn es sich an einen Baum heftet. In seinem Inneren jedoch regt sich einiges, da es sich auf seine bevorstehende Entwicklung vorbereitet. Dabei wird seine Schale sehr heiß.;
15;Beedrill is extremely territorial. No one should ever approach its nest-this is for their own safety. If angered, they will attack in a furious swarm.;Bibor ist sehr wehrhaft. Es sollte sich besser niemand seinem Nest nähern. Wenn man sie ärgert, greifen sie in Schwärmen an.;
16;This Pokémon is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.;Taubsi verfügt über einen sehr geschulten Orientierungssinn. Es kehrt zielsicher zu seinem Nest zurück, egal, wie weit es sich von seiner gewohnten Umgebung entfernt hat.;
17;This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.;Tauboga nennt ein großes Gebiet sein Eigen. Es fliegt umher und kontrolliert seinen Lebensraum. Wenn jemand sein Gebiet betritt, zeigt es keine Gnade und greift seine Gegner mit seinen scharfen Krallen an.;
18;Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.;Dieses Pokémon hat ein wunderschönes, glänzendes Gefieder. Viele Trainer sind von der auffälligen Schönheit seines Federkleids begeistert, sodass sie Tauboss als ihr Pokémon wählen.;
19;Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives-it will make its nest anywhere.;Rattfratz ist extrem vorsichtig. Sogar im Schlaf nimmt es alles wahr, indem es seine Ohren bewegt. Es stellt keine großen Ansprüche an seinen Lebensraum und richtet sein Nest überall ein.;
20;Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.;Rattikarls kräftige Zähne wachsen immer nach. Deshalb nagt es ständig Steine und Baumstämme an. Manchmal knabbert es sogar Hauswände an.;
21;If Spearow's very loud cry is high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.;Habitak kann einen sehr lauten Schrei ausstoßen, den man über die Entfernung von 1 km vernehmen kann. Durch das Echo seiner hohen, wehklagenden Schreie warnt dieses Pokémon seine Artgenossen vor drohender Gefahr.;
22;Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water.;Ibitak erkennt man an seinem langen Schnabel. Er ist hervorragend dafür geeignet, im Erdreich oder im Wasser Beute zu jagen. Es setzt seinen langen, dünnen Schnabel dabei sehr geschickt ein.;
23;Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction.;Rettan rollt sich zu einer Spirale zusammen, wenn es sich ausruht. Aus dieser Haltung kann es blitzschnell auf Bedrohungen aus allen Richtungen reagieren, indem es seinen Kopf hebt.;
24;This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums.;Dieses Pokémon ist unheimlich stark. Es kann seine Beute mit seinem Körper umwickeln und sogar Ölfässer zerdrücken. Wenn Arbok einen Gegner umwickelt, ist es unmöglich, seinem Würgegriff zu entkommen.;
25;This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps.;Dieses Pokémon kann in seinen Backentaschen Elektrizität speichern. Diese laden sich nachts auf, während Pikachu schläft. Es entlädt manchmal seine elektrische Ladung, wenn es gerade aufgewacht und noch schläfrig ist.;
26;This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness.;Dieses Pokémon gibt eine schwache elektrische Ladung ab. Dadurch glüht es bei Dunkelheit leicht. Raichu entlädt Elektrizität, indem es sein Hinterteil in den Boden gräbt.;
27;Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack.;Sandan hat eine sehr trockene und extrem robuste Haut. Dieses Pokémon kann sich zu einem Ball zusammenrollen, von dem jegliche Angriffe abprallen. Nachts gräbt es sich im Wüstensand ein und schläft dort.;
